wordform_id,wordform,lemma_id,pos,cefr,english_gloss,tense,person,number,gender
wf_c8ed94b064,vorrò,lem_6286273c65,verb_form,A1,to want,future,io,,
wf_9ebf90acd0,vorrai,lem_6286273c65,verb_form,A1,to want,future,tu,,
wf_ac4ced64ef,vorrà,lem_6286273c65,verb_form,A1,to want,future,lui/lei,,
wf_a2245587e3,vorremo,lem_6286273c65,verb_form,A1,to want,future,noi,,
wf_9df71feef9,vorrete,lem_6286273c65,verb_form,A1,to want,future,voi,,
wf_5caf19f537,vorranno,lem_6286273c65,verb_form,A1,to want,future,loro,,
wf_c679e2570f,vorrei,lem_6286273c65,verb_form,A1,to want,conditional,io,,
wf_a9caa2b548,vorresti,lem_6286273c65,verb_form,A1,to want,conditional,tu,,
wf_be9cc25dfa,vorrebbe,lem_6286273c65,verb_form,A1,to want,conditional,lui/lei,,
wf_334d708591,vorremmo,lem_6286273c65,verb_form,A1,to want,conditional,noi,,
wf_9990d2aee9,vorreste,lem_6286273c65,verb_form,A1,to want,conditional,voi,,
wf_0778a8616d,vorrebbero,lem_6286273c65,verb_form,A1,to want,conditional,loro,,
wf_fac8fdd425,dovere,lem_79b28d654f,verb_form,A1,must / to have to,infinitive,nan,,
wf_6e3c38420c,devo,lem_79b28d654f,verb_form,A1,must / to have to,present,io,,
wf_754e8439ad,devi,lem_79b28d654f,verb_form,A1,must / to have to,present,tu,,
wf_8907d970c3,deve,lem_79b28d654f,verb_form,A1,must / to have to,present,lui/lei,,
wf_58102ab5c2,dobbiamo,lem_79b28d654f,verb_form,A1,must / to have to,present,noi,,
wf_2e2b58b5bc,dovete,lem_79b28d654f,verb_form,A1,must / to have to,present,voi,,
wf_44a408e340,devono,lem_79b28d654f,verb_form,A1,must / to have to,present,loro,,
wf_384bfc1696,dovevo,lem_79b28d654f,verb_form,A1,must / to have to,imperfect,io,,
wf_d4f821000d,dovevi,lem_79b28d654f,verb_form,A1,must / to have to,imperfect,tu,,
wf_ebe8924b45,doveva,lem_79b28d654f,verb_form,A1,must / to have to,imperfect,lui/lei,,
wf_3ba71db160,dovevamo,lem_79b28d654f,verb_form,A1,must / to have to,imperfect,noi,,
wf_5b00061208,dovevate,lem_79b28d654f,verb_form,A1,must / to have to,imperfect,voi,,
wf_cd7a2c33a2,dovevano,lem_79b28d654f,verb_form,A1,must / to have to,imperfect,loro,,
wf_019bd368b3,dovuto,lem_79b28d654f,verb_form,A1,must / to have to,past_participle,nan,,
wf_8784b11c7b,dovendo,lem_79b28d654f,verb_form,A1,must / to have to,gerund,nan,,
wf_539220baf9,dovrò,lem_79b28d654f,verb_form,A1,must / to have to,future,io,,
wf_bec4dde561,dovrai,lem_79b28d654f,verb_form,A1,must / to have to,future,tu,,
wf_80dc0a253b,dovrà,lem_79b28d654f,verb_form,A1,must / to have to,future,lui/lei,,
wf_122af1ba03,dovremo,lem_79b28d654f,verb_form,A1,must / to have to,future,noi,,
wf_99ba4913a0,dovrete,lem_79b28d654f,verb_form,A1,must / to have to,future,voi,,
wf_d85cd7d285,dovranno,lem_79b28d654f,verb_form,A1,must / to have to,future,loro,,
wf_8dbf2f54a0,dovrei,lem_79b28d654f,verb_form,A1,must / to have to,conditional,io,,
wf_02bb1d0be3,dovresti,lem_79b28d654f,verb_form,A1,must / to have to,conditional,tu,,
wf_8166c4119e,dovrebbe,lem_79b28d654f,verb_form,A1,must / to have to,conditional,lui/lei,,
wf_26309a4f3e,dovremmo,lem_79b28d654f,verb_form,A1,must / to have to,conditional,noi,,
wf_11337652a9,dovreste,lem_79b28d654f,verb_form,A1,must / to have to,conditional,voi,,
wf_a45b981233,dovrebbero,lem_79b28d654f,verb_form,A1,must / to have to,conditional,loro,,
wf_8833c75f02,sapere,lem_9c4adfafea,verb_form,A1,to know (a fact),infinitive,nan,,
wf_6b044fc717,so,lem_9c4adfafea,verb_form,A1,to know (a fact),present,io,,
wf_c355d75379,sai,lem_9c4adfafea,verb_form,A1,to know (a fact),present,tu,,
wf_9e0d796f68,sa,lem_9c4adfafea,verb_form,A1,to know (a fact),present,lui/lei,,
wf_cf1ef2ece0,sappiamo,lem_9c4adfafea,verb_form,A1,to know (a fact),present,noi,,
wf_08cd2ddc54,sapete,lem_9c4adfafea,verb_form,A1,to know (a fact),present,voi,,
wf_d6e17ee6b0,sanno,lem_9c4adfafea,verb_form,A1,to know (a fact),present,loro,,
wf_7eb7af5794,sapevo,lem_9c4adfafea,verb_form,A1,to know (a fact),imperfect,io,,
wf_8848b819f5,sapevi,lem_9c4adfafea,verb_form,A1,to know (a fact),imperfect,tu,,
wf_d043559dc2,sapeva,lem_9c4adfafea,verb_form,A1,to know (a fact),imperfect,lui/lei,,
wf_3f15421b3a,sapevamo,lem_9c4adfafea,verb_form,A1,to know (a fact),imperfect,noi,,
wf_e79d8587e5,sapevate,lem_9c4adfafea,verb_form,A1,to know (a fact),imperfect,voi,,
wf_d6a5ad1d0b,sapevano,lem_9c4adfafea,verb_form,A1,to know (a fact),imperfect,loro,,
wf_dfbd3df390,saputo,lem_9c4adfafea,verb_form,A1,to know (a fact),past_participle,nan,,
wf_b4c950df19,sapendo,lem_9c4adfafea,verb_form,A1,to know (a fact),gerund,nan,,
wf_835fb9ce70,saprò,lem_9c4adfafea,verb_form,A1,to know (a fact),future,io,,
wf_e204d7f95c,saprai,lem_9c4adfafea,verb_form,A1,to know (a fact),future,tu,,
wf_593d20bc16,saprà,lem_9c4adfafea,verb_form,A1,to know (a fact),future,lui/lei,,
wf_e0048ef908,sapremo,lem_9c4adfafea,verb_form,A1,to know (a fact),future,noi,,
wf_d217ea385c,saprete,lem_9c4adfafea,verb_form,A1,to know (a fact),future,voi,,
wf_18c7cad333,sapranno,lem_9c4adfafea,verb_form,A1,to know (a fact),future,loro,,
wf_33d36d29a0,saprei,lem_9c4adfafea,verb_form,A1,to know (a fact),conditional,io,,
